iter	Passed	Remaining
420	1082	1488
421	1084	1485
422	1086	1482
423	1089	1479
424	1091	1476
425	1093	1473
426	1096	1470
427	1098	1468
428	1100	1465
429	1103	1462
430	1105	1459
431	1107	1456
432	1110	1453
433	1112	1451
434	1115	1448
435	1117	1445
436	1119	1442
437	1121	1439
438	1124	1436
439	1126	1433
440	1128	1431
441	1131	1428
442	1133	1424
443	1135	1422
444	1137	1419
445	1140	1416
446	1142	1413
447	1144	1410
448	1147	1407
449	1149	1404
450	1151	1401
451	1153	1398
452	1156	1395
453	1158	1393
454	1160	1390
455	1162	1387
456	1165	1384
457	1167	1381
458	1169	1378
459	1171	1375
460	1174	1372
461	1176	1369
462	1178	1366
463	1180	1363
464	1182	1360
465	1184	1357
466	1186	1354
467	1189	1351
468	1191	1348
469	1193	1345
470	1195	1342
471	1197	1339
472	1199	1336
473	1201	1333
474	1203	1330
475	1205	1327
476	1207	1324
477	1209	1321
478	1212	1318
479	1214	1315
480	1216	1312
481	1218	1309
482	1220	1306
483	1222	1303
484	1224	1300
485	1226	1297
486	1228	1294
487	1230	1291
488	1232	1288
489	1234	1285
490	1237	1282
491	1239	1279
492	1241	1276
493	1243	1273
494	1245	1270
495	1247	1267
496	1249	1265
497	1252	1262
498	1254	1259
499	1256	1256
500	1259	1254
501	1261	1251
502	1263	1248
503	1265	1245
504	1267	1242
505	1269	1239
506	1271	1236
507	1274	1234
508	1276	1231
509	1278	1228
510	1280	1225
511	1282	1222
512	1284	1219
513	1286	1216
514	1288	1213
515	1291	1210
516	1293	1208
517	1295	1205
518	1297	1202
519	1299	1199
520	1301	1196
521	1303	1193
522	1305	1190
523	1307	1187
524	1309	1185
525	1311	1182
526	1314	1179
527	1316	1176
528	1318	1173
529	1320	1170
530	1322	1168
531	1324	1165
532	1326	1162
533	1329	1159
534	1331	1157
535	1333	1154
536	1335	1151
537	1337	1148
538	1339	1145
539	1341	1143
540	1344	1140
541	1346	1137
542	1348	1134
543	1350	1131
544	1352	1129
545	1354	1126
546	1356	1123
547	1358	1120
548	1360	1117
549	1362	1115
550	1365	1112
551	1367	1109
552	1369	1106
553	1371	1103
554	1373	1101
555	1375	1098
556	1377	1095
557	1379	1092
558	1381	1090
559	1383	1087
560	1385	1084
561	1387	1081
562	1390	1078
563	1392	1076
564	1394	1073
565	1396	1070
566	1398	1067
567	1400	1065
568	1402	1062
569	1404	1059
570	1406	1056
571	1408	1054
572	1410	1051
573	1413	1048
574	1415	1045
575	1417	1043
576	1419	1040
577	1421	1037
578	1423	1035
579	1425	1032
580	1427	1029
581	1429	1026
582	1431	1024
583	1434	1021
584	1436	1019
585	1439	1016
586	1441	1014
587	1443	1011
588	1445	1008
589	1447	1006
590	1449	1003
591	1451	1000
592	1454	997
593	1456	995
594	1458	992
595	1460	989
596	1462	987
597	1464	984
598	1466	981
599	1468	979
600	1471	976
601	1473	973
602	1475	971
603	1477	968
604	1479	965
605	1481	963
606	1483	960
607	1485	957
608	1487	955
609	1489	952
610	1491	949
611	1493	947
612	1495	944
613	1497	941
614	1500	939
615	1502	936
616	1504	933
617	1506	931
618	1508	928
619	1510	925
620	1512	923
621	1514	920
622	1516	917
623	1518	915
624	1520	912
625	1523	909
626	1525	907
627	1527	904
628	1529	902
629	1531	899
630	1533	896
631	1535	894
632	1537	891
633	1539	888
634	1541	886
635	1544	883
636	1546	881
637	1548	878
638	1550	875
639	1552	873
640	1554	870
641	1556	867
642	1558	865
643	1560	862
644	1562	860
645	1564	857
646	1566	854
647	1568	852
648	1570	849
649	1572	846
650	1575	844
651	1577	841
652	1579	839
653	1581	836
654	1583	833
655	1585	831
656	1587	828
657	1589	826
658	1591	823
659	1593	820
660	1595	818
661	1597	815
662	1599	813
663	1602	810
664	1604	808
665	1606	805
666	1608	802
667	1610	800
668	1612	797
669	1615	795
670	1617	792
671	1619	790
672	1621	787
673	1623	785
674	1625	782
675	1627	780
676	1629	777
677	1632	775
678	1634	772
679	1636	769
680	1638	767
681	1640	764
682	1642	762
683	1644	759
684	1646	757
685	1648	754
686	1650	752
687	1652	749
688	1654	746
689	1656	744
690	1659	741
691	1661	739
692	1663	736
693	1665	734
694	1667	731
695	1669	729
696	1671	726
697	1673	724
698	1675	721
699	1677	719
700	1679	716
701	1682	714
702	1684	711
703	1686	708
704	1688	706
705	1690	704
706	1692	701
707	1694	699
708	1696	696
709	1699	693
710	1701	691
711	1703	688
712	1705	686
713	1707	683
714	1709	681
715	1711	678
716	1713	676
717	1715	673
718	1717	671
719	1720	668
720	1722	666
721	1724	663
722	1726	661
723	1728	658
724	1730	656
725	1732	653
726	1734	651
727	1736	648
728	1738	646
729	1740	643
730	1742	641
731	1745	638
732	1747	636
733	1749	633
734	1751	631
735	1753	628
736	1755	626
737	1757	623
738	1759	621
739	1761	618
740	1763	616
741	1766	614
742	1768	611
743	1770	609
744	1772	606
745	1774	604
746	1776	601
747	1778	599
748	1780	596
749	1782	594
750	1784	591
751	1786	589
752	1788	586
753	1791	584
754	1793	582
755	1796	579
756	1798	577
757	1800	574
758	1802	572
759	1805	570
760	1807	567
761	1810	565
762	1812	562
763	1814	560
764	1816	558
765	1818	555
766	1821	553
767	1823	550
768	1825	548
769	1827	546
770	1830	543
771	1832	541
772	1834	538
773	1836	536
774	1838	533
775	1840	531
776	1843	528
777	1845	526
778	1847	524
779	1849	521
780	1851	519
781	1854	516
782	1856	514
783	1858	512
784	1860	509
785	1862	507
786	1865	504
787	1867	502
788	1869	499
789	1871	497
790	1874	495
791	1876	492
792	1878	490
793	1880	487
794	1882	485
795	1885	483
796	1887	480
797	1889	478
798	1891	475
799	1893	473
800	1895	471
801	1898	468
802	1900	466
803	1902	463
804	1904	461
805	1906	458
806	1909	456
807	1911	454
808	1913	451
809	1915	449
810	1917	446
811	1919	444
812	1922	442
813	1924	439
814	1926	437
815	1928	434
816	1930	432
817	1933	430
818	1935	427
819	1937	425
820	1939	422
821	1941	420
822	1944	418
823	1946	415
824	1948	413
825	1950	410
826	1952	408
827	1955	406
828	1957	403
829	1959	401
830	1961	399
831	1964	396
832	1966	394
833	1968	391
834	1970	389
835	1973	387
836	1975	384
837	1977	382
838	1979	379
839	1982	377
840	1984	375
841	1986	372
842	1988	370
843	1991	368
844	1993	365
845	1995	363
846	1997	360
847	1999	358
848	2001	356
849	2003	353
850	2021	354
851	2024	351
852	2026	349
853	2028	346
854	2030	344
855	2032	341
856	2034	339
857	2036	337
858	2038	334
859	2040	332
860	2042	329
861	2045	327
862	2047	324
863	2049	322
864	2051	320
865	2053	317
866	2055	315
867	2057	312
868	2059	310
869	2061	308
870	2063	305
871	2065	303
872	2067	300
873	2069	298
874	2071	295
875	2073	293
876	2075	291
877	2077	288
878	2080	286
879	2082	283
880	2084	281
881	2086	279
882	2088	276
883	2090	274
884	2092	271
885	2094	269
886	2096	267
887	2098	264
888	2100	262
889	2103	259
890	2105	257
891	2107	255
892	2109	252
893	2111	250
894	2113	247
895	2115	245
896	2117	243
897	2120	240
898	2122	238
899	2124	236
900	2126	233
901	2128	231
902	2130	228
903	2132	226
904	2134	224
905	2136	221
906	2138	219
907	2140	216
908	2142	214
909	2145	212
910	2147	209
911	2149	207
912	2151	204
913	2153	202
914	2155	200
915	2157	197
916	2159	195
917	2161	193
918	2163	190
919	2166	188
920	2168	185
921	2170	183
922	2172	181
923	2174	178
924	2176	176
925	2178	174
926	2181	171
927	2183	169
928	2185	167
929	2187	164
930	2189	162
931	2191	159
932	2193	157
933	2195	155
934	2197	152
935	2199	150
936	2201	148
937	2204	145
938	2206	143
939	2208	140
940	2210	138
941	2212	136
942	2214	133
943	2216	131
944	2218	129
945	2220	126
946	2223	124
947	2225	122
948	2227	119
949	2229	117
950	2231	114
951	2233	112
952	2235	110
953	2237	107
954	2239	105
955	2242	103
956	2244	100
957	2246	98
958	2248	96
959	2250	93
960	2252	91
961	2254	89
962	2256	86
963	2258	84
964	2261	82
965	2263	79
966	2265	77
967	2267	74
968	2269	72
969	2271	70
970	2273	67
971	2275	65
972	2277	63
973	2280	60
974	2282	58
975	2284	56
976	2286	53
977	2288	51
978	2290	49
979	2292	46
980	2294	44
981	2296	42
982	2298	39
983	2301	37
984	2303	35
985	2305	32
986	2307	30
987	2309	28
988	2312	25
989	2314	23
990	2316	21
991	2318	18
992	2320	16
993	2322	14
994	2324	11
995	2326	9
996	2328	7
997	2331	4
998	2333	2
999	2335	0
